Course,Title,Instructor
ANTH 6,Linguistic Anthropology,Ashidhara Das
ANTH 7,Introduction to Forensic Anthropology,Elisabeth-Anne Mabie
ARTS 1A,Introduction to the Visual Arts,Elizabeth Mjelde
ARTS 1A,Introduction to the Visual Arts,Paul Roehl
ARTS 1A,Introduction to the Visual Arts,Yael Karmi
ARTS 1A,Introduction to the Visual Arts,Deborah Pasturel
ARTS 2A,History of Art: Europe from Prehistory through Early Christianity,Deborah Pasturel
ARTS 2B,History of Art: Europe During the Middle Ages and the Renaissance,Linda Becerril
ARTS 2C,History of Art: Europe from the Baroque Period Through Impressionism,Elizabeth Mjelde
ARTS 2D,History of Art: Europe and the United States from Post-Impressionism to the Present,Linda Becerril
ARTS 2F,History of Art (Multicultural Arts in the United States),Catie Cadge-Moore
ARTS 2G,History of Art: Arts of Asia,So Kam Lee
ARTS 2J,"History of Art: Arts of Africa, Oceania and Native North America",Catie Cadge-Moore
ARTS 3TC,Women and Art,Natasha Kleit
ASAM 1,Asian American Experiences Past to Present,Wayne Jopanda
ASAM 1,Asian American Experiences Past to Present,Mae Lee
ASAM 11,Asian Americans and Racism,Mae Lee
ASAM 20,Asian Pacific American Literature,Francesca Caparas
ASAM 40,History of Art: Arts of Asia,So Kam Lee
ASAM 41,Introduction to Korean Popular Culture,Young Jung
ASTR 4,Solar System Astronomy,Rachel Mastrapa
ASTR 4,Solar System Astronomy,Srikar Srinath
ASTR 4,Solar System Astronomy,Caitlin Marie Kepple
ASTR 4,Solar System Astronomy,Marek Cichanski
ASTR 4,Solar System Astronomy,Eric Peterson
ASTR 10,Stellar Astronomy,Caitlin Marie Kepple
ASTR 10,Stellar Astronomy,Eric Peterson
BIOL 6A,Form and Function in the Biological World,Simon Kang'a
BIOL 6A,Form and Function in the Biological World,Bruce Heyer
BIOL 6A,Form and Function in the Biological World,Elizabeth Mcpartlan
BIOL 6A,Form and Function in the Biological World,Lianna Wong
BIOL 10,Introductory Biology,Judy Cuff-Alvarado
BIOL 10,Introductory Biology,Elizabeth Mcpartlan
BIOL 10,Introductory Biology,Jason Bram
BIOL 11,Human Biology,Ebenezer Morikang
BIOL 11,Human Biology,Simon Kang'a
BIOL 13,Marine Biology,Jason Bram
BIOL 26,Introductory Microbiology,Elsa Jimenez-Samayoa
BIOL 26,Introductory Microbiology,Ann Daniel
BIOL 40C,Human Anatomy and Physiology,Eric Pane
BUS 21,Business and Society,Byron Lilly
BUS 54,Business Mathematics,Sandra Spencer
BUS 56,Human Relations in the Workplace,Lale Yurtseven
CD 10G,Child Development (The Early Years),Jayanti Roy
CD 10G,Child Development (The Early Years),"SUN, LI WEI"
CD 10G,Child Development (The Early Years),Shelley Gonzales
CD 10G,Child Development (The Early Years),Cristina Leal
CD 10H,Child Growth and Development (Middle Childhood and Adolescence),Jila Maleksalehi
CD 10H,Child Growth and Development (Middle Childhood and Adolescence),Julie Kennedy
CD 12,"Child, Family and Community Interrelationships",Nellie Vargas
CD 12,"Child, Family and Community Interrelationships","SUN, LI WEI"
CD 64,"Health, Safety, and Nutrition for the Young Child",Richard Zalman
CETH 8,Women of Color in the USA,Marc Coronado
CETH 10,"Race, Ethnicity and Inequality",Mae Lee
CETH 13,History of Art (Multicultural Arts in the United States),Catie Cadge-Moore
CETH 29,"Ethnic Studies, Cultural Pluralism, and American Law and Justice",Meghan Kensler
CHEM 1A,General Chemistry,Cinzia Muzzi
CHEM 1A,General Chemistry,David Gray
CHEM 1A,General Chemistry,Christopher Deming
CHEM 1A,General Chemistry,Semere Bairu
CHEM 1B,General Chemistry,Megan Brophy
CHEM 1B,General Chemistry,Josh Visser
CHEM 1C,General Chemistry and Qualitative Analysis,Michael Lane
CHEM 10,Introductory Chemistry,"LAK, PARNIAN"
CHEM 10,Introductory Chemistry,James Maxwell
CHEM 25,Preparation Course for General Chemistry,Margarete Leclerc
CHEM 25,Preparation Course for General Chemistry,Cinzia Muzzi
CHEM 25,Preparation Course for General Chemistry,"WILCOX, ALLAN"
CHEM 25,Preparation Course for General Chemistry,Xiao Wang
CHEM 30A,"Introduction to General, Organic and Biochemistry I",Brendan Mar
CHEM 30A,"Introduction to General, Organic and Biochemistry I","ERMUT, GORKEM"
CHEM 30B,"Introduction to General, Organic and Biochemistry II",Megan Brophy
CHLX 10,Introduction to Chicanx and Latinx Studies,Felipe Ponce
CHLX 10,Introduction to Chicanx and Latinx Studies,Robert Unzueta
CHLX 13,The Chicanx and Latinx and the Arts,Angelina Loyola
CIS 2,Computers and the Internet in Society,Valerie Taylor
CLP 7,Self-Assessment,Herminio Hernando
CLP 7,Self-Assessment,Robert Alexander
CLP 7,Self-Assessment,Pauline Wethington
COMM 1,Public Speaking,Joel Sakakihara
COMM 1,Public Speaking,Royce Cano
COMM 1,Public Speaking,Shagundeep Kaur
COMM 1,Public Speaking,Kathleen Raiff
COMM 1,Public Speaking,Alex Kramer
COMM 1,Public Speaking,James Ahern
COMM 1,Public Speaking,Thalia Bobadilla
COMM 1,Public Speaking,Scott Koppel
COMM 1,Public Speaking,Russell Hong
COMM 1,Public Speaking,Stephanie Anderson
COMM 1,Public Speaking,David Hamilton
COMM 1,Public Speaking,Peter Lee
COMM 1,Public Speaking,Morgan McKnight
COMM 1,Public Speaking,Karl Isacson
COMM 1,Public Speaking,Stephen Hinerman
COMM 1,Public Speaking,Nick Chivers
COMM 1,Public Speaking,Roxanne Cnudde
COMM 1,Public Speaking,Tina Lim
COMM 7,Intercultural Communication,Nick Chivers
COMM 7,Intercultural Communication,Thalia Bobadilla
COMM 8,Argumentation and Critical Inquiry in Oral Communication,Alex Kramer
COMM 9,Argumentation: Analysis of Oral and Written Communication,Brandon Gainer
COMM 10,Fundamentals of Oral Communication,Russell Hong
COMM 10,Fundamentals of Oral Communication,Lucas Wang
COMM 10,Fundamentals of Oral Communication,Thalia Bobadilla
COMM 10,Fundamentals of Oral Communication,Morgan McKnight
COMM 10,Fundamentals of Oral Communication,David Hamilton
COMM 10,Fundamentals of Oral Communication,Patrick McDonnell
COMM 10,Fundamentals of Oral Communication,Anya Iyengar
COMM 10,Fundamentals of Oral Communication,Stephanie Anderson
COMM 15,Critical Decision-Making in Groups,Stephanie Anderson
COMM 15,Critical Decision-Making in Groups,Brandon Gainer
COMM 16,Interpersonal Communication,Nick Chivers
COMM 70,Organizational Communication,Shagundeep Kaur
DANC 22,Body Awareness and Conditioning for Dancers,Janet Shaw
DANC 22K,Theory and Technique of Ballet I,Janet Shaw
